CH1 1.0V  ,CH2 1.0V  ,20mS 
Probe:X1 ,Probe:X1 ,
099,074,
100,074,
099,105,
099,074,
099,104,
100,075,
099,075,
099,104,
099,075,
099,103,
099,103,
099,076,
099,102,
100,077,
100,102,
100,102,
100,078,
100,101,
099,078,
100,100,
099,100,
099,079,
100,099,
099,080,
099,098,
100,098,
100,081,
100,097,
099,082,
100,082,
099,096,
099,083,
100,095,
100,084,
099,084,
099,094,
099,086,
099,093,
099,087,
099,087,
100,092,
100,088,
099,090,
100,089,
099,089,
099,089,
100,090,
100,088,
100,091,
099,091,
099,087,
099,092,
100,086,
099,086,
099,093,
099,085,
099,094,
099,084,
099,084,
099,096,
100,083,
099,097,
100,082,
100,082,
100,098,
099,081,
100,099,
099,080,
099,080,
099,099,
100,079,
099,100,
100,078,
099,078,
099,101,
100,077,
099,102,
099,102,
100,076,
100,103,
100,076,
099,104,
099,104,
099,075,
099,104,
100,074,
099,105,
099,105,
099,074,
099,105,
099,074,
099,105,
100,105,
100,073,
100,106,
099,073,
100,073,
100,106,
099,073,
099,106,
100,073,
100,073,
100,106,
099,073,
099,106,
099,073,
099,073,
099,105,
099,073,
099,105,
100,074,
100,074,
100,105,
100,074,
100,105,
100,074,
100,074,
100,104,
100,075,
099,104,
099,104,
099,075,
099,103,
099,076,
099,102,
100,102,
099,077,
100,102,
099,078,
099,101,
100,101,
099,078,
099,100,
099,079,
099,099,
099,099,
099,080,
099,098,
099,081,
099,097,
100,097,
100,082,
100,096,
099,083,
100,083,
100,095,
100,084,
100,094,
100,085,
099,085,
099,093,
099,087,
099,092,
099,088,
099,088,
100,091,
100,089,
100,089,
100,090,
100,090,
099,087,
099,092,
099,087,
099,087,
099,093,
099,086,
099,094,
099,084,
100,084,
100,095,
099,083,
099,096,
099,082,
100,082,
099,097,
099,081,
099,098,
100,080,
100,080,
100,099,
099,079,
099,100,
099,078,
099,078,
099,101,
099,078,
099,102,
099,102,
099,077,
099,102,
100,076,
100,103,
100,103,
099,075,
099,104,
099,075,
099,104,
100,104,
100,074,
099,105,
100,074,
099,105,
099,105,
099,074,
099,105,
099,073,
099,105,
099,106,
099,073,
100,106,
100,073,
099,073,
099,106,
099,073,
100,106,
100,073,
099,073,
100,106,
